country,population,poultry_supply_capita,poultry_import,poultry_production,GDP,stability,urban,animal_protein_ratio,poultry_protein_ratio,production_per_capita,poultry_gap,import_dependency
Indonesia,267346658.0,7.66,30.0,3175853000.0,10687.6409218443,-0.5816146,54.4541015625,31.591978212428817,13.518808777429467,11.879157284995872,-4.219157284995871,1.4641288433382137e-06
Iran (Islamic Republic of),85026754.0,25.75,5556000.0,2237000000.0,15719.416701551,-0.699442999999999,74.4011840820312,32.68199690218039,42.36237695953336,26.309366108460402,-0.5593661084604022,0.2538145271813614
Iraq,39337353.0,17.3,472062000.0,96000000.0,10191.6616988639,-2.1677252,69.8944511190753,28.200111794298486,38.75123885034688,2.440428566711136,14.859571433288865,80.83253424657534
Ireland,4810261.0,23.66,70413380.0,128170000.0,80450.3529336506,0.9418026,62.9035196521232,64.88416375753728,14.966984592809979,26.645123830079076,-2.9851238300790754,58.19287603305785
Italy,60390318.0,18.96,51247310.0,1006677000.0,42142.3435406885,0.2543499,69.5180784259382,56.4723627007364,13.825608798114692,16.669509837653116,2.2904901623468845,4.372637372013652
Jamaica,2815764.0,53.11,22856430.0,128290000.0,10466.4876782146,0.1291365,55.9152267548307,53.905784138342284,53.384955752212385,45.561346760594994,7.548653239405006,15.037125000000001
Jordan,10234226.0,24.17,52808430.0,221404230.0,9265.51536720733,-0.444359699999999,90.8764609714428,35.704419889502766,42.35976789168278,21.63370537254112,2.536294627458883,21.37993117408907
Kazakhstan,18651931.0,18.16,168860940.0,170729100.0,23973.0602295651,-0.0563947,57.4586448748837,51.16353543979504,17.108282912580847,9.153427599533796,9.006572400466204,50.10710385756677
Kenya,49197766.0,2.17,75140.0,106473000.0,4177.24993580267,-1.1322093,31.5383650847102,28.299643281807374,5.88235294117647,2.164183633866627,0.0058163661333727745,0.07022429906542056
Kiribati,120275.0,19.97,956780.0,887880.0,2562.06561789397,0.9519508,52.9734697275451,52.93086172344689,21.651680075721725,7.382082727083766,12.587917272916233,47.839
Kuwait,4154685.0000000005,45.24,131028140.0,55755000.0,46565.5499504554,0.0018547,100.0,50.21296296296296,37.765074681910384,13.419789947974394,31.820210052025608,69.32705820105821
Kyrgyzstan,6220150.0,3.12,23141710.0,7639000.0,4953.71755085199,-0.2975366,34.9980805726839,40.81632653061224,4.051724137931034,1.22810543154104,1.89189456845896,70.12639393939394
Lao People's Democratic Republic,7018147.0,5.37,4129000.0,28441680.0,7141.90652701767,0.2776591,34.5115346444216,27.53051881993896,11.085450346420323,4.052591089927298,1.317408910072702,10.865789473684211
