Benin,Urban population (% of total population),47.2942774880391
Indonesia,Urban population (% of total population),54.4541015625
Australia,Urban population (% of total population),87.12809266445
Kuwait,Urban population (% of total population),100.0
Nauru,Urban population (% of total population),100.0
Suriname,Urban population (% of total population),66.1046467051207
Maldives,Urban population (% of total population),39.32787719143
Namibia,Urban population (% of total population),46.8135799686288
Türkiye,Urban population (% of total population),88.0320472717286
Guyana,Urban population (% of total population),26.412905546573
Sint Maarten (Dutch part),Urban population (% of total population),100.0
Malta,Urban population (% of total population),94.5691806330314
Switzerland,Urban population (% of total population),77.9126273688843
IDA total,Urban population (% of total population),37.61035880431710
Peru,Urban population (% of total population),82.1931650502403
Chad,Urban population (% of total population),23.461349471105
Kosovo,Urban population (% of total population),41.7578065585746
Norway,Urban population (% of total population),81.9699745912375
Trinidad and Tobago,Urban population (% of total population),53.9293186833833
Cabo Verde,Urban population (% of total population),69.1999988159713
Afghanistan,Urban population (% of total population),24.8352821238871
Andorra,Urban population (% of total population),88.4977035522461
Pakistan,Urban population (% of total population),36.4351548223399
Monaco,Urban population (% of total population),100.0
Serbia,Urban population (% of total population),60.621208190918
San Marino,Urban population (% of total population),97.0999984741211
Euro area,Urban population (% of total population),76.47374064641590
European Union,Urban population (% of total population),74.19407991103930
Liberia,Urban population (% of total population),51.7957569553849
Arab World,Urban population (% of total population),58.680894160159500
Netherlands,Urban population (% of total population),91.1219700676602
South Asia (IDA & IBRD),Urban population (% of total population),33.26438762300470
Europe & Central Asia,Urban population (% of total population),73.03961433698440
North Macedonia,Urban population (% of total population),59.7437719356273
Bermuda,Urban population (% of total population),100.0
Ethiopia,Urban population (% of total population),20.3084850311279
Guatemala,Urban population (% of total population),53.7994723140017
Upper middle income,Urban population (% of total population),65.29126889790670
IDA & IBRD total,Urban population (% of total population),50.64358847080120
Central African Republic,Urban population (% of total population),40.8151443386334
"Hong Kong SAR, China",Urban population (% of total population),100.0
Tuvalu,Urban population (% of total population),59.9531274910912
Post-demographic dividend,Urban population (% of total population),80.57302820907020
Austria,Urban population (% of total population),67.9051196052802
Philippines,Urban population (% of total population),52.6010482354344
India,Urban population (% of total population),33.1821328157539
Lao PDR,Urban population (% of total population),34.5115346444216
Singapore,Urban population (% of total population),100.0
Gibraltar,Urban population (% of total population),100.0
Eswatini,Urban population (% of total population),23.8052004963161
Tajikistan,Urban population (% of total population),26.2731513977051
Czechia,Urban population (% of total population),72.9121853567256
Botswana,Urban population (% of total population),65.9456435684731
East Asia & Pacific (IDA & IBRD),Urban population (% of total population),56.398836733004600
China,Urban population (% of total population),60.2402687072754
Eritrea,Urban population (% of total population),35.4427146911621
Solomon Islands,Urban population (% of total population),25.3830535769599
Small states,Urban population (% of total population),50.74051995736100
Libya,Urban population (% of total population),87.8166729870528
Late-demographic dividend,Urban population (% of total population),62.7392997946222
Sierra Leone,Urban population (% of total population),41.7106682105058
"Middle East, North Africa, Afghanistan & Pakistan",Urban population (% of total population),54.09276139564610
Mauritania,Urban population (% of total population),54.1970448502004
Slovak Republic,Urban population (% of total population),53.6126018237016
"Yemen, Rep.",Urban population (% of total population),33.5586912522175
Bulgaria,Urban population (% of total population),73.3904571533203
Uganda,Urban population (% of total population),26.4139260579546
Middle income,Urban population (% of total population),51.743714030285000
Comoros,Urban population (% of total population),31.0996559689293
Latin America & Caribbean (IDA & IBRD),Urban population (% of total population),79.79522841120370
Moldova,Urban population (% of total population),39.9736557006836
Croatia,Urban population (% of total population),55.9009887365155
El Salvador,Urban population (% of total population),71.0856704711914
Belarus,Urban population (% of total population),77.0208206176758
Europe & Central Asia (excluding high income),Urban population (% of total population),67.29084252208230
Pre-demographic dividend,Urban population (% of total population),42.14692620070130
IBRD only,Urban population (% of total population),55.222222793535500
Togo,Urban population (% of total population),40.5809463430719
Germany,Urban population (% of total population),80.9842544038853
Mauritius,Urban population (% of total population),39.4499348663789
Europe & Central Asia (IDA & IBRD),Urban population (% of total population),68.36719968289860
Syrian Arab Republic,Urban population (% of total population),74.5395596323392
