Area,Item,Year,Unit,Value
El Salvador,Poultry Meat,2017,g/cap/d,10.98
Estonia,Grand Total,2017,g/cap/d,106.54
Estonia,Animal Products,2017,g/cap/d,66.34
Estonia,Poultry Meat,2017,g/cap/d,9.05
Eswatini,Grand Total,2017,g/cap/d,58.34
Eswatini,Animal Products,2017,g/cap/d,20.05
Eswatini,Poultry Meat,2017,g/cap/d,3.04
Ethiopia,Grand Total,2017,g/cap/d,80.27
Ethiopia,Animal Products,2017,g/cap/d,6.35
Ethiopia,Poultry Meat,2017,g/cap/d,0.28
Fiji,Grand Total,2017,g/cap/d,75.92
Fiji,Animal Products,2017,g/cap/d,39
Fiji,Poultry Meat,2017,g/cap/d,16.56
Finland,Grand Total,2017,g/cap/d,120.93
Finland,Animal Products,2017,g/cap/d,78.65
Finland,Poultry Meat,2017,g/cap/d,8.74
France,Grand Total,2017,g/cap/d,118.11
France,Animal Products,2017,g/cap/d,76.01
France,Poultry Meat,2017,g/cap/d,11.67
French Polynesia,Grand Total,2017,g/cap/d,107.45
French Polynesia,Animal Products,2017,g/cap/d,69.24
French Polynesia,Poultry Meat,2017,g/cap/d,21.68
Gabon,Grand Total,2017,g/cap/d,88.16
Gabon,Animal Products,2017,g/cap/d,45.79
Gabon,Poultry Meat,2017,g/cap/d,17.12
Gambia,Grand Total,2017,g/cap/d,61.4
Gambia,Animal Products,2017,g/cap/d,19.84
Gambia,Poultry Meat,2017,g/cap/d,3.58
Georgia,Grand Total,2017,g/cap/d,84.08
Georgia,Animal Products,2017,g/cap/d,36.01
Georgia,Poultry Meat,2017,g/cap/d,8.02
Germany,Grand Total,2017,g/cap/d,108.84
Germany,Animal Products,2017,g/cap/d,68.85
Germany,Poultry Meat,2017,g/cap/d,8.4
Ghana,Grand Total,2017,g/cap/d,63.17
Ghana,Animal Products,2017,g/cap/d,16.54
Ghana,Poultry Meat,2017,g/cap/d,3.15
Greece,Grand Total,2017,g/cap/d,105.55
Greece,Animal Products,2017,g/cap/d,59.53
Greece,Poultry Meat,2017,g/cap/d,6.84
Grenada,Grand Total,2017,g/cap/d,91.69
Grenada,Animal Products,2017,g/cap/d,54.77
Grenada,Poultry Meat,2017,g/cap/d,20.62
Guatemala,Grand Total,2017,g/cap/d,71.08
Guatemala,Animal Products,2017,g/cap/d,26.28
Guatemala,Poultry Meat,2017,g/cap/d,9.07
Guinea,Grand Total,2017,g/cap/d,53.76
Guinea,Animal Products,2017,g/cap/d,12.12
Guinea,Poultry Meat,2017,g/cap/d,0.99
Guinea-Bissau,Grand Total,2017,g/cap/d,56.11
Guinea-Bissau,Animal Products,2017,g/cap/d,11.03
Guinea-Bissau,Poultry Meat,2017,g/cap/d,1.64
Guyana,Grand Total,2017,g/cap/d,98.43
Guyana,Animal Products,2017,g/cap/d,44.05
Guyana,Poultry Meat,2017,g/cap/d,18.34
Haiti,Grand Total,2017,g/cap/d,52.45
Haiti,Animal Products,2017,g/cap/d,12.65
Haiti,Poultry Meat,2017,g/cap/d,4.15
Honduras,Grand Total,2017,g/cap/d,60.2
Honduras,Animal Products,2017,g/cap/d,23
Honduras,Poultry Meat,2017,g/cap/d,9.6
Hungary,Grand Total,2017,g/cap/d,91.64
Hungary,Animal Products,2017,g/cap/d,54.31
Hungary,Poultry Meat,2017,g/cap/d,11.48
Iceland,Grand Total,2017,g/cap/d,152.54
Iceland,Animal Products,2017,g/cap/d,114.3
Iceland,Poultry Meat,2017,g/cap/d,14.79
India,Grand Total,2017,g/cap/d,66.78
India,Animal Products,2017,g/cap/d,14.55
India,Poultry Meat,2017,g/cap/d,1.26
Indonesia,Grand Total,2017,g/cap/d,80.78
Indonesia,Animal Products,2017,g/cap/d,25.52
Indonesia,Poultry Meat,2017,g/cap/d,3.45
Iran (Islamic Republic of),Grand Total,2017,g/cap/d,83.93
Iran (Islamic Republic of),Animal Products,2017,g/cap/d,27.43
Iran (Islamic Republic of),Poultry Meat,2017,g/cap/d,11.62
Iraq,Grand Total,2017,g/cap/d,71.56
Iraq,Animal Products,2017,g/cap/d,20.18
Iraq,Poultry Meat,2017,g/cap/d,7.82
Ireland,Grand Total,2017,g/cap/d,126.04
Ireland,Animal Products,2017,g/cap/d,81.78
Ireland,Poultry Meat,2017,g/cap/d,12.24
Israel,Grand Total,2017,g/cap/d,130.82
Israel,Animal Products,2017,g/cap/d,79.68
Israel,Poultry Meat,2017,g/cap/d,34.36
Italy,Grand Total,2017,g/cap/d,112.71
Italy,Animal Products,2017,g/cap/d,63.65
Italy,Poultry Meat,2017,g/cap/d,8.8
Jamaica,Grand Total,2017,g/cap/d,83.85
Jamaica,Animal Products,2017,g/cap/d,45.2
Jamaica,Poultry Meat,2017,g/cap/d,24.13
Jordan,Grand Total,2017,g/cap/d,72.4
Jordan,Animal Products,2017,g/cap/d,25.85
Jordan,Poultry Meat,2017,g/cap/d,10.95
Kazakhstan,Grand Total,2017,g/cap/d,93.68
Kazakhstan,Animal Products,2017,g/cap/d,47.93
Kazakhstan,Poultry Meat,2017,g/cap/d,8.2
Kenya,Grand Total,2017,g/cap/d,58.87
Kenya,Animal Products,2017,g/cap/d,16.66
Kenya,Poultry Meat,2017,g/cap/d,0.98
Kiribati,Grand Total,2017,g/cap/d,79.84
Kiribati,Animal Products,2017,g/cap/d,42.26
Kiribati,Poultry Meat,2017,g/cap/d,9.15
Kuwait,Grand Total,2017,g/cap/d,108
Kuwait,Animal Products,2017,g/cap/d,54.23
Kuwait,Poultry Meat,2017,g/cap/d,20.48
Kyrgyzstan,Grand Total,2017,g/cap/d,85.26
Kyrgyzstan,Animal Products,2017,g/cap/d,34.8
Kyrgyzstan,Poultry Meat,2017,g/cap/d,1.41
Lao People's Democratic Republic,Grand Total,2017,g/cap/d,78.64
Lao People's Democratic Republic,Animal Products,2017,g/cap/d,21.65
Lao People's Democratic Republic,Poultry Meat,2017,g/cap/d,2.4
Latvia,Grand Total,2017,g/cap/d,108.27
Latvia,Animal Products,2017,g/cap/d,63.54
Latvia,Poultry Meat,2017,g/cap/d,9.43
Lebanon,Grand Total,2017,g/cap/d,81.12
Lebanon,Animal Products,2017,g/cap/d,31.72
Lebanon,Poultry Meat,2017,g/cap/d,10.3
Lesotho,Grand Total,2017,g/cap/d,60.18
Lesotho,Animal Products,2017,g/cap/d,18.96
Lesotho,Poultry Meat,2017,g/cap/d,2.84
Liberia,Grand Total,2017,g/cap/d,44.91
Liberia,Animal Products,2017,g/cap/d,12.66
Liberia,Poultry Meat,2017,g/cap/d,5.91
Libya,Grand Total,2017,g/cap/d,84.02
Libya,Animal Products,2017,g/cap/d,35.47
Libya,Poultry Meat,2017,g/cap/d,12.36
Lithuania,Grand Total,2017,g/cap/d,126.7
Lithuania,Animal Products,2017,g/cap/d,75.7
Lithuania,Poultry Meat,2017,g/cap/d,12.92
Luxembourg,Grand Total,2017,g/cap/d,111.79
Luxembourg,Animal Products,2017,g/cap/d,72.71
Luxembourg,Poultry Meat,2017,g/cap/d,8.64
Madagascar,Grand Total,2017,g/cap/d,41.5
Madagascar,Animal Products,2017,g/cap/d,7.25
Madagascar,Poultry Meat,2017,g/cap/d,1.42
Malawi,Grand Total,2017,g/cap/d,63.94
Malawi,Animal Products,2017,g/cap/d,14.65
Malawi,Poultry Meat,2017,g/cap/d,3.26
Malaysia,Grand Total,2017,g/cap/d,91.86
Malaysia,Animal Products,2017,g/cap/d,54.97
Malaysia,Poultry Meat,2017,g/cap/d,23.49
Maldives,Grand Total,2017,g/cap/d,104.61
Maldives,Animal Products,2017,g/cap/d,57.05
Maldives,Poultry Meat,2017,g/cap/d,7.13
Malta,Grand Total,2017,g/cap/d,117.41
Malta,Animal Products,2017,g/cap/d,66.42
Malta,Poultry Meat,2017,g/cap/d,11.17
Mauritania,Grand Total,2017,g/cap/d,83.87
Mauritania,Animal Products,2017,g/cap/d,31.71
Mauritania,Poultry Meat,2017,g/cap/d,2.36
Mauritius,Grand Total,2017,g/cap/d,94.41
Mauritius,Animal Products,2017,g/cap/d,45.91
Mauritius,Poultry Meat,2017,g/cap/d,16.87
Mexico,Grand Total,2017,g/cap/d,95.34
Mexico,Animal Products,2017,g/cap/d,52.28
Mexico,Poultry Meat,2017,g/cap/d,15.48
Mongolia,Grand Total,2017,g/cap/d,106.31
Mongolia,Animal Products,2017,g/cap/d,74.18
Mongolia,Poultry Meat,2017,g/cap/d,1.26
Montenegro,Grand Total,2017,g/cap/d,123.89
Montenegro,Animal Products,2017,g/cap/d,77.48
Montenegro,Poultry Meat,2017,g/cap/d,7.46
Morocco,Grand Total,2017,g/cap/d,101.8
Morocco,Animal Products,2017,g/cap/d,31.08
Morocco,Poultry Meat,2017,g/cap/d,9.38
Mozambique,Grand Total,2017,g/cap/d,42.97
Mozambique,Animal Products,2017,g/cap/d,9.28
Mozambique,Poultry Meat,2017,g/cap/d,1.86
Myanmar,Grand Total,2017,g/cap/d,99.8
Myanmar,Animal Products,2017,g/cap/d,48.52
Myanmar,Poultry Meat,2017,g/cap/d,14.34
Namibia,Grand Total,2017,g/cap/d,67.45
Namibia,Animal Products,2017,g/cap/d,24.88
Namibia,Poultry Meat,2017,g/cap/d,4.96
Nepal,Grand Total,2017,g/cap/d,77.42
Nepal,Animal Products,2017,g/cap/d,14.36
Nepal,Poultry Meat,2017,g/cap/d,0.93
Netherlands (Kingdom of the),Grand Total,2017,g/cap/d,104.74
Netherlands (Kingdom of the),Animal Products,2017,g/cap/d,67.5
Netherlands (Kingdom of the),Poultry Meat,2017,g/cap/d,7.24
New Caledonia,Grand Total,2017,g/cap/d,94.14
New Caledonia,Animal Products,2017,g/cap/d,55.23
New Caledonia,Poultry Meat,2017,g/cap/d,16.56
New Zealand,Grand Total,2017,g/cap/d,98.72
New Zealand,Animal Products,2017,g/cap/d,56.74
New Zealand,Poultry Meat,2017,g/cap/d,11.56
Nicaragua,Grand Total,2017,g/cap/d,66.7
Nicaragua,Animal Products,2017,g/cap/d,24.09
Nicaragua,Poultry Meat,2017,g/cap/d,9.86
Niger,Grand Total,2017,g/cap/d,88.7
Niger,Animal Products,2017,g/cap/d,10.58
Niger,Poultry Meat,2017,g/cap/d,0.48
Nigeria,Grand Total,2017,g/cap/d,61.89
Nigeria,Animal Products,2017,g/cap/d,7.59
Nigeria,Poultry Meat,2017,g/cap/d,0.62
North Macedonia,Grand Total,2017,g/cap/d,94.15
North Macedonia,Animal Products,2017,g/cap/d,41.84
North Macedonia,Poultry Meat,2017,g/cap/d,9.73
Norway,Grand Total,2017,g/cap/d,126.5
Norway,Animal Products,2017,g/cap/d,70.25
Norway,Poultry Meat,2017,g/cap/d,9.49
Oman,Grand Total,2017,g/cap/d,93.81
Oman,Animal Products,2017,g/cap/d,48.54
Oman,Poultry Meat,2017,g/cap/d,10.07
Pakistan,Grand Total,2017,g/cap/d,69.95
Pakistan,Animal Products,2017,g/cap/d,29.08
Pakistan,Poultry Meat,2017,g/cap/d,2.58
Panama,Grand Total,2017,g/cap/d,85.57
Panama,Animal Products,2017,g/cap/d,46.85
Panama,Poultry Meat,2017,g/cap/d,15.28
Papua New Guinea,Grand Total,2017,g/cap/d,66.25
Papua New Guinea,Animal Products,2017,g/cap/d,35.95
Papua New Guinea,Poultry Meat,2017,g/cap/d,1.52
Paraguay,Grand Total,2017,g/cap/d,74.12
Paraguay,Animal Products,2017,g/cap/d,35.78
Paraguay,Poultry Meat,2017,g/cap/d,4.61
Peru,Grand Total,2017,g/cap/d,84.06
Peru,Animal Products,2017,g/cap/d,39.12
Peru,Poultry Meat,2017,g/cap/d,17.25
Philippines,Grand Total,2017,g/cap/d,71.67
Philippines,Animal Products,2017,g/cap/d,29.3
Philippines,Poultry Meat,2017,g/cap/d,6.23
Poland,Grand Total,2017,g/cap/d,114.14
Poland,Animal Products,2017,g/cap/d,64.98
Poland,Poultry Meat,2017,g/cap/d,14.95
Portugal,Grand Total,2017,g/cap/d,119.61
Portugal,Animal Products,2017,g/cap/d,77.3
